Nucleus,A,Z,N,R_emp,R_pred,Z_pred,N_pred,NZ_actual,NZ_pred,a_S_aV_target,Status
He-4,4,2,2,1.76,1.66,3,1,1.000,0.500,1.13,~
Be-9,9,4,5,2.29,2.13,7,2,1.250,0.364,1.13,~
C-12,12,6,6,2.47,2.36,9,3,1.000,0.333,1.13,~
O-16,16,8,8,2.70,2.52,10,6,1.000,0.600,1.13,✓
Ne-20,20,10,10,3.00,2.74,11,9,1.000,0.818,1.13,✓
Mg-24,24,12,12,3.16,2.89,12,12,1.000,1.000,1.13,✓
Fe-56,56,26,30,4.59,3.83,23,33,1.154,1.435,1.13,✓
Ni-58,58,28,30,4.63,3.87,24,34,1.071,1.417,1.13,✓
Sn-120,120,50,70,5.51,4.64,49,71,1.400,1.449,1.13,✓
Pb-208,208,82,126,6.62,5.53,55,153,1.537,2.782,1.13,✓
U-238,238,92,146,7.44,5.92,60,178,1.587,2.967,1.13,✓
